sysid,title,article_text,law_group,law_type
oic_10013,รายชื่อบริษัทประกันภัยที่ถูกลงโทษปรับ,[ข่าวประกาศ] 2014-05-27 รายชื่อบริษัทประกันภัยที่ถูกลงโทษปรับ,ประกันภัย,ข่าวประกาศ
oic_10014,ประกาศกองทุนประกันวินาศภัย เรื่อง บ.สัมพันธ์,[ข่าวประกาศ] 2014-05-27 ประกาศกองทุนประกันวินาศภัย เรื่อง บ.สัมพันธ์,ประกันภัย,ข่าวประกาศ
oic_10015,รายชื่อผู้เข้ารับการอบรมต่ออายุใบอนุญาตฯ ครั้งที่ 4 วันที่ 21-23 เม.ย. 2553,[ข่าวประกาศ] 2014-05-27 รายชื่อผู้เข้ารับการอบรมต่ออายุใบอนุญาตฯ ครั้งที่ 4 วันที่ 21-23 เม.ย. 2553,ประกันภัย,ข่าวประกาศ
oic_10016,ประกวดราคาจัดซื้อรถยนต์ประจำตำแหน่ง,[ข่าวประกาศ] 2014-05-27 ประกวดราคาจัดซื้อรถยนต์ประจำตำแหน่ง,ประกันภัย,ข่าวประกาศ
oic_10017,สอบราคาจ้างประชาสัมพันธ์ โครงการปลูกจิตสำนึกฯ ผ่านสื่อวิทยุ,[ข่าวประกาศ] 2014-05-27 สอบราคาจ้างประชาสัมพันธ์ โครงการปลูกจิตสำนึกฯ ผ่านสื่อวิทยุ,ประกันภัย,ข่าวประกาศ
oic_10018,"การสอบราคาจ้างซื้ออุปกรณ์ ""โครงการพัฒนาการออกใบอนุญาตฯ","[ข่าวประกาศ] 2014-05-27 การสอบราคาจ้างซื้ออุปกรณ์ ""โครงการพัฒนาการออกใบอนุญาตฯ",ประกันภัย,ข่าวประกาศ
oic_10019,การเปลี่ยนแปลงสถานที่และเวลาทำการของบริษัทประกันภัยเป็นการชั่วคราว,[ข่าวประกาศ] 2014-05-27 การเปลี่ยนแปลงสถานที่และเวลาทำการของบริษัทประกันภัยเป็นการชั่วคราว,ประกันภัย,ข่าวประกาศ
oic_10020,สอบราคาจ้างจัดทำรายงานประจำปี ฯ,[ข่าวประกาศ] 2014-05-27 สอบราคาจ้างจัดทำรายงานประจำปี ฯ,ประกันภัย,ข่าวประกาศ
oic_10021,สอบราคาจ้างสำรวจความพึงพอใจของผู้ใช้บริการกับสำนักงาน คปภ.,[ข่าวประกาศ] 2014-05-27 สอบราคาจ้างสำรวจความพึงพอใจของผู้ใช้บริการกับสำนักงาน คปภ.,ประกันภัย,ข่าวประกาศ
oic_10022,คำชี้แจงการนำส่งงบการเงินของบริษัทประกันภัย,[ข่าวประกาศ] 2014-05-27 คำชี้แจงการนำส่งงบการเงินของบริษัทประกันภัย,ประกันภัย,ข่าวประกาศ
oic_10023,สอบราคาจ้างจัดทำรายงานประจำปี ฯ,[ข่าวประกาศ] 2014-05-27 สอบราคาจ้างจัดทำรายงานประจำปี ฯ,ประกันภัย,ข่าวประกาศ
oic_10024,สอบราคาจ้างประชาสัมพันธ์ โครงการฯ ผ่านสื่อสิ่งพิมพ์,[ข่าวประกาศ] 2014-05-27 สอบราคาจ้างประชาสัมพันธ์ โครงการฯ ผ่านสื่อสิ่งพิมพ์,ประกันภัย,ข่าวประกาศ
oic_10025,กำหนดการอบรม/สอบ ไมโครอินชัวรันส์ ครั้งที่ 2,[ข่าวประกาศ] 2014-05-27 กำหนดการอบรม/สอบ ไมโครอินชัวรันส์ ครั้งที่ 2,ประกันภัย,ข่าวประกาศ
oic_10026,ประกาศผลการคัดเลือกผู้จัดการกองทุนประกันวินาศภัย,[ข่าวประกาศ] 2014-05-27 ประกาศผลการคัดเลือกผู้จัดการกองทุนประกันวินาศภัย,ประกันภัย,ข่าวประกาศ
